Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Price (USD)
Fiat ,500e Hatchback,9,150,250,168,330,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,38041
Tesla ,Cybertruck Single Motor,7,180,390,255.5,740,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Pickup,N,6,49050
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,75810
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,51775
Skoda ,Enyaq iV 60,9,160,320,181,440,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,40875
Audi ,e-tron S 55 quattro,4.5,210,320,255.5,510,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,102242
Smart ,EQ fortwo cabrio,11.9,130,95,176,0,Rapid charging not possible,Rear Wheel Drive,Type 2,Cabrio,A,2,26775
Kia ,e-Soul 64 kWh,7.9,167,365,175,320,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,40152
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,62675
Fiat ,500e Convertible,9,150,250,168,330,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,41311
Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,38776
Kia ,e-Soul 39 kWh,9.9,157,230,170,220,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36114
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,E,5,58315
Nissan ,Ariya 63kWh,7.5,160,330,191,440,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,49050
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,255.5,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,104694
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,54500
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,70850
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,67580
